date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2025-07-11,67.6125,30.65416666666667,316.25,13.004166666666668,6.141666666666667,57.666666666666664,0.6775000000000001,72.0,1.8625,102.91666666666667,73.20833333333333
2025-07-12,31.425,15.870833333333332,254.95833333333334,8.2125,4.6000000000000005,62.916666666666664,0.41208333333333336,29.666666666666668,2.30625,70.375,50.916666666666664
2025-07-13,23.55,12.070833333333333,254.08333333333334,6.5625,3.7125,57.833333333333336,0.4558333333333333,22.125,1.7270833333333335,55.208333333333336,29.583333333333332
2025-07-14,18.558333333333334,9.575000000000001,221.83333333333334,5.991666666666667,3.279166666666667,56.666666666666664,0.36125,17.083333333333332,2.04375,43.291666666666664,24.833333333333332
2025-07-15,9.575000000000001,7.654166666666666,221.20833333333334,6.654166666666666,3.3666666666666667,51.875,0.22583333333333333,3.3333333333333335,1.9270833333333333,33.75,21.666666666666668
2025-07-16,15.479166666666666,10.025,278.2083333333333,10.549999999999999,4.579166666666667,50.541666666666664,0.24083333333333334,10.375,1.3729166666666668,33.5,21.083333333333332
2025-07-17,34.75,20.170833333333334,372.125,11.875,5.766666666666667,65.75,0.49374999999999997,27.75,1.8499999999999999,56.166666666666664,32.625
2025-07-18,22.47083333333333,16.241666666666667,452.2916666666667,11.0625,5.7124999999999995,68.41666666666667,0.435,12.5,1.6375,67.45833333333333,41.708333333333336
2025-07-19,24.9375,17.891666666666666,531.7083333333334,12.0625,6.5375000000000005,71.54166666666667,0.34833333333333333,14.041666666666666,1.4625000000000001,54.916666666666664,34.166666666666664
2025-07-20,36.775,20.962500000000002,414.625,14.433333333333332,7.216666666666666,49.75,0.44875,30.25,1.6791666666666665,66.95833333333333,40.333333333333336
2025-07-21,16.641666666666666,12.295833333333334,410.5,11.7875,5.920833333333333,50.5,0.40166666666666667,8.208333333333334,1.0374999999999999,63.541666666666664,37.083333333333336
2025-07-22,8.404166666666667,7.1625000000000005,293.0416666666667,7.608333333333333,4.5375000000000005,58.25,0.42,2.4166666666666665,1.1145833333333333,38.583333333333336,23.75
2025-07-23,4.720833333333333,4.558333333333334,299.625,6.8625,3.7375000000000003,54.333333333333336,0.23,0.2916666666666667,0.9187500000000001,28.708333333333332,21.708333333333332
2025-07-24,5.925,5.183333333333333,298.9166666666667,8.241666666666667,4.091666666666667,46.041666666666664,0.19000000000000003,1.0833333333333333,0.7604166666666666,21.708333333333332,18.375
2025-07-25,6.2749999999999995,5.429166666666667,278.1666666666667,7.970833333333334,3.5541666666666667,47.041666666666664,0.14916666666666667,1.3333333333333333,0.6375,24.125,18.875
2025-07-26,4.504166666666666,3.8625000000000003,238.75,6.583333333333333,3.2125,48.333333333333336,0.11625,1.0,1.1666666666666667,22.583333333333332,19.416666666666668
2025-07-27,11.429166666666667,6.283333333333334,206.875,4.608333333333333,2.533333333333333,53.541666666666664,0.35375,8.625,1.9312500000000001,24.208333333333332,21.375
2025-07-28,13.054166666666667,7.091666666666666,220.70833333333334,4.816666666666666,2.6875,52.791666666666664,0.48291666666666666,10.625,1.7270833333333335,29.708333333333332,21.083333333333332
2025-07-29,12.458333333333334,6.7375,216.70833333333334,5.0249999999999995,2.858333333333333,52.458333333333336,0.41583333333333333,9.625,2.05625,29.875,20.958333333333332
2025-07-30,17.0625,8.875,222.875,6.2875000000000005,3.3249999999999997,47.708333333333336,0.3541666666666667,15.666666666666666,1.4833333333333334,29.291666666666668,19.166666666666668
2025-07-31,18.866666666666667,10.216666666666667,265.25,6.516666666666667,3.5875,55.083333333333336,0.43291666666666667,16.333333333333332,1.9895833333333333,43.041666666666664,23.583333333333332
2025-08-01,24.787499999999998,12.920833333333334,392.25,8.4375,4.125,52.5,0.42375,21.916666666666668,1.78125,43.541666666666664,23.875
2025-08-02,37.61666666666667,21.34166666666667,616.125,12.904166666666667,6.5249999999999995,52.125,0.45625,29.541666666666668,2.125,58.75,32.666666666666664
2025-08-03,29.954166666666666,19.479166666666668,497.625,13.429166666666667,6.241666666666667,63.833333333333336,0.405,19.708333333333332,1.9437499999999999,71.91666666666667,49.041666666666664
2025-08-04,50.145833333333336,35.829166666666666,738.8333333333334,26.104166666666668,11.75,61.125,0.5266666666666667,27.333333333333332,1.6958333333333335,82.45833333333333,58.375
2025-08-05,52.824999999999996,40.9625,745.9166666666666,19.858333333333334,11.354166666666666,79.125,0.6329166666666667,23.458333333333332,1.96875,107.0,70.58333333333333
